Age_2026,0 County Times,1-3 County Times,4-10 County Times,11+ County Times,Total
10,17,4,0,1,22
11,10,6,1,3,20
12,12,6,6,7,31
13,12,6,1,8,27
14,11,3,4,4,22
15,6,4,1,1,12
16,8,1,10,5,24
17,7,5,3,0,15
18,3,1,2,2,8
19,0,2,2,1,5
27,1,1,0,0,2
28,1,0,1,0,2
37,1,1,0,0,2
48,0,1,0,0,1
Total,89,41,31,32,193
